Sentence,Offensive,Split
#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........,0,0
#HellYeah RT @USER #No RT @USER Happy Fall! Pumpkin Spice Oreos are here URL URL,0,0
"#HelloBrookland! We're here at the @USER opening! Serving free samples of cider, vegan sliders, brownies! URL",0,0
"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.",0,0
#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;,0,0
"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers",0,0
"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny",0,0
#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it,0,0
#NP Centuries ~FOB,0,0
#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers,0,0
#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - URL,0,0
#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - URL,0,0
#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - URL,0,0
#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - URL,0,0
#PDPLive is on November 10th. Get your early bird tickets from URL @USER URL,0,0
#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers,0,0
"#RadioFreeNorthwest 218Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, GretchenURL",0,0
"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!",0,0
#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.,0,0
#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost,0,0
#RuinAComedian @USER Charlie Lapdance,0,0
#Skating is for trash.,0,0
#StopWhitePeople RT @USER 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus,0,0
#TBT love you forever ling ling &#128115;&#128114;&#128152; @USER URL,0,0
#THEBOONDOCKS at 10:30 my nicca!,0,0
#TRUTH RT @USER David is the Charlie Brown of #Scandal,0,0
#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama,0,0
#WhatImCraving Peanut Butter Oreos &lt;3,0,0
#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!,0,0
#Yankees,0,0
#Yankees #FireCashman I don't want Arod back.,0,0
#Yankees #Jeter Let him play the entire inning. That's fitting.,0,0
#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!,0,0
"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale URL",0,0
#Yankees 6-0. Nine straight hits. Price... Not your night.,0,0
#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,0,0
#Yankees Damn. Well Joe that move to the bullpen really helped.,0,0
#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!,0,0
#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.,0,0
#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.,0,0
#Yankees Nice bounce back @USER Kay. Gotta keep this going!,0,0
#Yankees Pineda needed that 6'7. Great play!,0,0
"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time",0,0
#Yankees got beaten by a thug,0,0
"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB",0,0
#Yankees wasted Nu&#241;ez's season #rays #mlb,0,0
#drunk #trash #trashed #wasted @ The Draught Horse URL,0,0
#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.,0,0
#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; URL,0,0
"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb",0,0
#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!,0,0
#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers,0,0
"#metal only, honkies!",0,0
#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook URL,0,0
#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge URL,0,0
#mt browngal #gouache #monkey #tiki URL,0,0
#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp; A$AP Rocky) via @USER URL,0,0
#philhughes @USER #nyy better then UR whole team,0,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki URL",0,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki URL",0,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Teen | Cutie lesbian teens toy slits URL",0,0
#portlandia #putabirdonit RT @USER The Xbox One would be so much cooler if they put a bird on it,0,0
#redneck tow truck. #johndeere #4455 #america URL,0,0
"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!",0,0
#southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe,0,0
#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds,0,0
#tbt my precious gook baby &#128525;&#128525;&#128525;&#128525;&#128525;&#128525; @USER URL,0,0
#tbt when i took my likkle monkey jimmys URL,0,0
"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY.",0,0
#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti URL,0,0
#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!,0,0
&#127813;&#127813;&#127813; RT @USER Killer line? @USER Josh Smith dropped a killer trash talk line on Kenneth URL,0,0
&#127867;&#127867;&#127867;&#127804;&#128153;&#127913; plus Sheryl crow URL,0,0
&#128027;=&#128176;&#128184; &#8220;@USER its true that the early bird.. gets the worm first!&#8221;,0,0
&#128075; hi-ho URL,0,0
&#128514;&#128514; maaaaannnn i hope so! RT @USER @USER did we get rid of John Legend looking Charlie Batch?,0,0
&#128514;&#128514; mike calls me t-bird @USER,0,0
&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig,0,0
&#128525;&#128525;&#128525;&#8220;@USER i guess ill just trash this drawing because of roster changes...&#128532; URL,0,0
&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;,0,0
&#128553; monkey mad,0,0
&#128557;&#128557;&#128557;&#128530; RT @USER At work imma real Uncle Tom!&#128584;,0,0
&#193;lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... URL,0,0
&#8216;Chillin&#8217; With My Homie Or What&#8217;s Left Of Him&#8217;: British Rapper Turned ISIS Jihadi Poses With Severed Head URL #tcot,0,0
&#8220;@USER Truth about any distance for all you love birds out there! URL,0,0
"&#8220;@USER Frogger, best game ever&#8221; only cuz You suck at flappy bird",0,0
&#8220;@USER @USER @USER Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.,0,0
&#8220;@USER Adderall had me killing two birds with one stone URL,0,0
&#8220;@USER Wtf is flappy bird&#8221; are you kidding me,0,0
&#8220;@USER RT @USER #Yankees Michael Pineda in his next start.. URL @USER,0,0
&#8220;@USER I'm a mud shark because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @,0,0
&#8220;@USER An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221; Polk Ashton. Polk,0,0
&#8220;@USER just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha,0,0
&#8220;@USER Michael Pineda hides pine tar...on his neck URL fact that the Yankees cheat &#128077;&#128077;&#128077; Go Red Sox!! #Boston,0,0
&#8220;@USER So they really deleted flappy bird from the App Store cus someone killed themselves over it &#128514;&#8221; foreal foreal ?? &#128561;&#128557;,0,0
&#8220;@USER Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales URL man wtf,0,0
&#8220;@USER Oxtails and yellow rice is blasphemy&#8221; boneless,0,0
&#8220;@USER What&#8217;s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing URL make colored folk happy,0,0
&#8220;@USER wasn&#8217;t that great to me either RT @USER Equalizer was trash Denzel officially washed bruh&#8221;neither was flight,0,0
&#8220;@USER I get paid too chill.&#8221; Share the wealth Lil nicca,0,0
&#8220;@USER Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay URL @USER,0,0
&#8220;@USER here&#8217;s to all the kids who have never found their name on anything in a souvenir store&#8221; thanks mom for the ghetto name.,0,0
&#8220;@USER And that's why mock drafts are a joke my friends.....&#8221;Anyone???,0,0
&#8220;@USER Oreo cookies&#128523; URL &#128525;&#128539;&#128553;,0,0
&#8220;@USER Tom Brady slowly becoming washed?&#128064;&#8221;Nah.. His weapons just trash,0,0
&#8220;@USER What will the Lakers be after kobe&#8221; trash,0,0
&#8220;@USER Islamic State suspects in Indonesia are Chinese Uighurs URL Jihadis: they're not just a PRC tool.,0,0
&#8220;@USER Lakers really trash.&#8221;&#128686;,0,0
&#8220;@USER Name something trash&#8221; Cavs,0,0
&#8220;@USER Golden Oreos &#128016; regular Oreos &#128686;&#8221; YES!!!,0,0
&#8220;@USER Oreos are basically dirt circles with cream.&#8221; True.,0,0
&#8220;@USER @USER where am I on this rating scale???&#8221; Depends. You still wearing them colored contacts or naw?,0,0
&#8220;@USER Kit Kat brownies. URL making.,0,0
&#8220;@USER Bruh RT @USER Trent took the yellow path URL,0,0
&#8220;@USER i need more beanies&#8221;just ordered two true religion ones lol,0,0
&#8220;@USER Uncle Charlie just got thru lip singing?!&#8221;haha,0,0
&#8220;@USER When twitter rappers dm me their trash links URL,0,0
&#8220;@USER Lance Stevenson gone leave Indiana&#8221; he trash anyway,0,0
&#8220;@USER A lot of them are though. Attitudes be pure trash&#8221;#TeamWhiteGirls #SwirlTheWorld,0,0
&#8220;@USER Where do all the foreskins go when they circumcise a guy?&#8221; the Foreskin Fairy takes them after you put them under your pillow,0,0
&#8220;@USER Brah Wiz cheated &#128514;&#128557; URL she had hair like a dyke..... Uh.. Duh?,0,0
"&#8220;@USER If Howard elbow bosh, will bosh fight back?&#8221; don't have to got mcbob bird and UD",0,0
&#8220;@USER An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. #Yankees #MLB&#8221; OMG. Feel an ulcer.,0,0
&#8220;@USER When you open your starburst candy and get 2 yellows URL lmao bruh,0,0
&#8220;@USER MMMH Daily is out! URL Stories via @USER @USER #yellow is IN! &amp; @USER luv the bling!,0,0
&#8220;@USER Some of y'all bios are trash.&#8221; Mine pretty good,0,0
"&#8220;@USER In the fashion world urban means stolen from black people its ghetto on us, and urban on them haha URL &#128588;",0,0
"&#8220;@USER I survived swine flu, bird flu, west nile and the Bloomberg administration. I'll be fine&#8221;the abortion survival. Cant 4get that",0,0
&#8220;@USER My tweets trash&#8221;,0,0
&#8220;@USER My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick,0,0
&#8220;@USER dumb beaner&#8221; URL,0,0
&#8220;@USER When girls take my snap backs and beanies lol&#128169; that's 35 dollars a hat and 40 for the AX beanieS &#128530;&#8221;I don't let them take it,0,0
&#8220;@USER I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz .&#8221; Lmao #College,0,0
&#8220;@USER How I feel when I'm throwing trash away... URL everyday in school.,0,0
&#8220;@USER Oreos And Milk &#128523;&#8221;,0,0
&#8220;@USER I find myself wanting to google the yellow king #TrueDetective&#8221; No kidding! What is going on?,0,0
&#8220;@USER Red Neck Ice Bucket Challenge &#128514; URL he must be from the SIP. #redneck,0,0
&#8220;@USER Adam Jones homers Yankees now lead 5-3.&#8221;Guy is a monsta,0,0
&#8220;@USER Making weed brownies tonight&#8221; goin slide me a batch relo,0,0
&#8220;@USER Quote this with a weezy verse I'm a diamond in the rough like a baby in the trash,0,0
&#8220;@USER COLT MCCOY WINS&#8252;&#65039;#HookEm&#128002;&#8221; he's still trash,0,0
&#8220;@USER URL is this trash...,0,0
&#8220;@USER &#8220;@USER #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @USER @USER,0,0
&#8220;@USER #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;THE BAMBINO IS WATCHING!,0,0
"&#8220;@USER Alfredo Aceves in to relieve @USER here in the 4th. #Yankees&#8221; he needs to go away , gas can !",0,0
&#8220;@USER Cavs trash.. Heat trash.. Smh&#8221;pat gotta make trades,0,0
&#8220;@USER Oreo ice cream cake &#128588; URL &#128525;,0,0
&#8220;@USER My Lakers are going to be so trash this season I can't wait &#128588;&#128079;&#128530;&#8221; :(,0,0
&#8220;@USER Looking at nip rings I can't wait until I can change mine &#128527;&#8221; &#128221;&#128064;&#128209; lmao,0,0
&#8220;@USER &#8220;@USER Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing,0,0
&#8220;@USER 83 you're really cool you're good at basketball. And your a zebra &#127936;&#128060;&#8221; is this @USER,0,0
&#8220;@USER I hate when I attempt to make the yellow light but the car infront of me stops at the light &#128545;&#128545;&#128545;&#8221;&#8252;&#65039; I be wanting to fight&#128514;,0,0
&#8220;@USER @USER @USER @USER #CHUCKSTRONG #GoldSwagger URL thats awesome &#127936;+&#127944;=&#128077;&#128076;&#9757; #hoosiers,0,0
&#8220;@USER I know u didnt hit that jigga with my fav purse. .. @USER chill! &#128514;&#128514;,0,0
&#8220;@USER Yankees will never have someone wear a single digit uniform again after this season&#8221; Wow. Shows that is an epic organization,0,0
&#8220;@USER @USER Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed,0,0
&#8220;@USER &#8220;@USER twitpic a selfie with light colored eyes&#8221; URL,0,0
&#8220;@USER thats my fav part on Take Care&#8221;whole album trash,0,0
&#8220;@USER All I see in every #IfTheyGunnedMeDown tweet... URL be like da colored Brady Bunch,0,0
&#8220;@USER eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense&#8221; #StopIt,0,0
"&#8220;@USER @USER Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those Rose(ie) colored glasses off",0,0
&#8220;@USER Tag a friend that sucks at flappy bird&#8221; @USER,0,0
&#8220;@USER If you used the ObamaCare website you should definitely change your password URL hahahahahah that's sad #boon,0,0
&#8220;@USER We raided Nicki's wig closet for the summer! Bad gals just wanna have fun! URL this bitch has the a nerve smh,0,0
&#8220;@USER I'm only back cause I don't wanna see the boys lose to trash #vote5sos&#8221;,0,0
&#8220;@USER The fruit of the modern Yankees farm system. URL Joba the Nut.,0,0
&#8220;@USER Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie,0,0
&#8220;@USER Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now,0,0
&#8220;@USER Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?,0,0
&#8220;@USER On the east coast there's colored hair everywhere. This must be the sweetest wave ever.&#8221; @USER,0,0
&#8220;@USER B Oreo a stunt&#8221;come thru &#128293;&#128293;&#128293;,0,0
&#8220;@USER I feel sorry for anyone who paid for LIC because edc is trash music&#8221;,0,0
&#8220;@USER Traded in my nikes for a new mic.. I guess it's safe to say he sold soles for his new life ... -bada$$&#8221;,0,0
&#8220;There is a time &amp; a place 4 decaf coffee. Never &amp; in the trash. URL #MommyMonday humor via @USER &amp; @USER,0,0
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ URL,0,0
&#9733;@USER GRAND OPENING ! &#9733;@USER TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ URL,0,0
